Year;Movie;Director_OMDb;Genre;Runtime_min;Rated;IMDb_Rating;IMDb_Votes;Metascore;Rotten_Tomatoes;total_awards;Oscars - Best Picture;BAFTA - Best film;Golden Globes - Best movie;PGA - Best Picutre;Oscars - Best Director;BAFTA - Best Director;Golden Globes - Best Director;Oscars - Best Screenplay;BAFTA - Best Screenplay;Golden Globes - Best Screenplay;Oscars - Best Montage;BAFTA - Best Montage;Oscars - Best Cinematography;BAFTA - Best Cinematography
2018;The Post;Steven Spielberg;Biography, Drama, History;116.0;PG-13;7,2;172033.0;83.0;88.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2017;Hell or High Water;David Mackenzie;Crime, Drama, Thriller;102.0;R;7,6;277821.0;88.0;97.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2017;Hacksaw Ridge;Mel Gibson;Biography, Drama, History;139.0;R;8,1;681670.0;71.0;84.0;2;0;0.0;0.0;0.0;0;0;0;0;0;0;1.0;1;0;0
2017;Moonlight;Barry Jenkins;Drama;111.0;R;7,4;352382.0;99.0;90.0;3;1;0.0;1.0;0.0;0;0;0;1;0;0;0.0;0;0;0
2017;Arrival;Denis Villeneuve;Drama, Mystery, Sci-Fi;116.0;PG-13;7,9;864102.0;81.0;94.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2017;Fences;Denzel Washington;Drama;139.0;PG-13;7,2;125476.0;79.0;92.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2017;Hidden Figures;Theodore Melfi;Biography, Drama, History;127.0;PG;7,8;289415.0;74.0;93.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2017;La La Land;Damien Chazelle;Comedy, Drama, Music;128.0;PG-13;8;763254.0;94.0;87.0;9;0;1.0;1.0;1.0;1;1;1;0;0;1;0.0;0;1;1
2017;Lion;Garth Davis;Biography, Drama;118.0;PG-13;8;266657.0;69.0;73.0;1;0;0.0;0.0;0.0;0;0;0;0;1;0;0.0;0;0;0
2017;Manchester by the Sea;Kenneth Lonergan;Drama;137.0;R;7,8;356896.0;96.0;96.0;2;0;0.0;0.0;0.0;0;0;0;1;1;0;0.0;0;0;0
2016;Brooklyn;John Crowley;Drama, Romance;117.0;Not Rated;7,5;158631.0;87.0;97.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2016;The Martian;Ridley Scott;Adventure, Drama, Sci-Fi;144.0;PG-13;8;1013334.0;80.0;91.0;1;0;0.0;1.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2016;Room;Sikandar Sidhu;Thriller;91.0;R;4;11457.0;31.0;0.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2016;Spotlight;Tom McCarthy;Biography, Crime, Drama;129.0;R;8,1;535553.0;93.0;88.0;3;1;0.0;0.0;0.0;0;0;0;1;1;0;0.0;0;0;0
2016;The Big Short;Adam McKay;Biography, Comedy, Drama;130.0;R;7,8;539835.0;81.0;78.0;3;0;0.0;0.0;1.0;0;0;0;1;1;0;0.0;0;0;0
2016;Bridge of Spies;Steven Spielberg;Drama, History, Thriller;142.0;PG-13;7,6;344544.0;81.0;91.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2016;Mad Max: Fury Road;George Miller;Action, Adventure, Sci-Fi;120.0;R;8,1;1206685.0;90.0;86.0;2;0;0.0;0.0;0.0;0;0;0;0;0;0;1.0;1;0;0
2016;The Revenant;Alejandro G. Iñárritu;Action, Drama, Western;156.0;R;8;950392.0;76.0;78.0;7;0;1.0;1.0;0.0;1;1;1;0;0;0;0.0;0;1;1
2015;The Imitation Game;Morten Tyldum;Biography, Drama, Thriller;114.0;PG-13;8;878192.0;71.0;90.0;1;0;0.0;0.0;0.0;0;0;0;1;0;0;0.0;0;0;0
2015;Birdman;Alejandro G. Inarritu;Comedy, Drama;119.0;R;7,7;699050.0;87.0;91.0;7;1;0.0;0.0;1.0;1;0;0;1;0;1;0.0;0;1;1
2015;American Sniper;Clint Eastwood;Action, Biography, Drama;133.0;R;7,3;569956.0;73.0;71.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2015;Boyhood;Richard Linklater;Drama;165.0;R;7,9;381899.0;100.0;97.0;4;0;1.0;1.0;0.0;0;1;1;0;0;0;0.0;0;0;0
2015;The Grand Budapest Hotel;Wes Anderson;Comedy, Drama;99.0;R;8,1;971793.0;88.0;92.0;3;0;0.0;1.0;0.0;0;0;0;1;1;0;0.0;0;0;0
2015;Selma;Ava DuVernay;Biography, Drama, History;128.0;PG-13;7,5;99216.0;79.0;85.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2015;The Theory of Everything;James Marsh;Biography, Drama, Romance;123.0;PG-13;7,7;507938.0;71.0;80.0;1;0;0.0;0.0;0.0;0;0;0;0;1;0;0.0;0;0;0
2015;Whiplash;Damien Chazelle;Drama, Music;106.0;R;8,5;1155540.0;89.0;94.0;2;0;0.0;0.0;0.0;0;0;0;0;0;0;1.0;1;0;0
2014;Her;Juan Carlos Borrero, Melodie Carli;Documentary;105.0;PG-13;5;7259.0;15.0;8.0;2;0;0.0;0.0;0.0;0;0;0;1;0;1;0.0;0;0;0
2014;The Wolf of Wall Street;Martin Scorsese;Biography, Comedy, Crime;180.0;R;8,2;1788957.0;75.0;79.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2014;12 Years a Slave;Steve McQueen;Biography, Drama, History;134.0;R;8,1;787053.0;96.0;95.0;5;1;1.0;1.0;1.0;0;0;0;1;0;0;0.0;0;0;0
2014;American Hustle;David O. Russell;Crime, Drama;138.0;R;7,2;519010.0;90.0;82.0;2;0;0.0;1.0;0.0;0;0;0;0;1;0;0.0;0;0;0
2014;Captain Phillips;Paul Greengrass;Action, Biography, Crime;134.0;PG-13;7,8;519351.0;82.0;93.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2014;Dallas Buyers Club;Jean-Marc Vallée;Biography, Drama;117.0;R;7,9;548706.0;77.0;78.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2014;Gravity;Alfonso Cuarón;Drama, Sci-Fi, Thriller;91.0;PG-13;7,7;900352.0;96.0;90.0;7;0;0.0;0.0;1.0;1;1;1;0;0;0;1.0;0;1;1
2014;Nebraska;Alexander Payne;Drama;115.0;R;7,7;128649.0;86.0;80.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2014;Philomena;Stephen Frears;Biography, Comedy, Drama;98.0;PG-13;7,6;107320.0;77.0;91.0;1;0;0.0;0.0;0.0;0;0;0;0;1;0;0.0;0;0;0
2013;Argo;Ben Affleck;Biography, Drama, History;120.0;R;7,7;666998.0;86.0;96.0;9;1;1.0;1.0;1.0;0;1;1;1;0;0;1.0;1;0;0
2013;Beasts of the Southern Wild;Benh Zeitlin;Adventure, Drama, Fantasy;93.0;PG-13;7,2;86834.0;86.0;87.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2013;Silver Linings Playbook;David O. Russell;Comedy, Drama, Romance;122.0;R;7,7;773568.0;81.0;92.0;1;0;0.0;0.0;0.0;0;0;0;0;1;0;0.0;0;0;0
2013;Lincoln;Steven Spielberg;Biography, Drama, History;150.0;Unrated;7,3;284758.0;86.0;89.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2013;Les Misérables;Tom Hooper;Drama, Musical, Romance;158.0;Not Rated;7,5;362369.0;63.0;70.0;1;0;0.0;1.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2013;Amour;Michael Haneke;Drama;127.0;PG-13;7,9;110624.0;95.0;93.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2013;Django Unchained;Quentin Tarantino;Drama, Western;165.0;R;8,5;1883738.0;81.0;87.0;3;0;0.0;0.0;0.0;0;0;0;1;1;1;0.0;0;0;0
2013;Life of Pi;Ang Lee;Adventure, Drama, Fantasy;127.0;PG;7,9;700497.0;79.0;86.0;3;0;0.0;0.0;0.0;1;0;0;0;0;0;0.0;0;1;1
2013;Zero Dark Thirty;Kathryn Bigelow;Drama, History, Thriller;157.0;R;7,4;341569.0;95.0;86.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2012;The Descendants;Alexander Payne;Comedy, Drama;115.0;R;7,3;259923.0;84.0;88.0;2;0;0.0;1.0;0.0;0;0;0;1;0;0;0.0;0;0;0
2012;Extremely Loud & Incredibly Close;Stephen Daldry;Adventure, Drama, Mystery;129.0;PG-13;6,9;107896.0;46.0;44.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2012;Midnight in Paris;Woody Allen;Comedy, Fantasy, Romance;94.0;PG-13;7,6;471329.0;81.0;93.0;2;0;0.0;0.0;0.0;0;0;0;1;0;1;0.0;0;0;0
2012;The Artist;Michel Hazanavicius;Comedy, Drama, Romance;100.0;PG-13;7,8;255499.0;89.0;88.0;8;1;1.0;1.0;1.0;1;1;0;0;1;0;0.0;0;0;1
2012;The Help;Tate Taylor;Drama;146.0;PG-13;8,1;528645.0;62.0;70.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2012;Hugo;Martin Scorsese;Adventure, Drama, Family;126.0;PG;7,5;349454.0;83.0;93.0;2;0;0.0;0.0;0.0;0;0;1;0;0;0;0.0;0;1;0
2012;Moneyball;Bennett Miller;Biography, Drama, Sport;133.0;PG-13;7,6;509192.0;87.0;94.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2012;The Tree of Life;Terrence Malick;Drama, Fantasy;139.0;PG-13;6,8;192362.0;85.0;85.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2012;War Horse;Steven Spielberg;Adventure, Drama, History;146.0;PG-13;7,2;173197.0;72.0;74.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2011;127 Hours;Danny Boyle;Biography, Drama;94.0;R;7,5;424692.0;82.0;93.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2011;Winter's Bone;Debra Granik;Crime, Drama, Mystery;100.0;R;7,1;157927.0;90.0;94.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2011;Toy Story 3;Lee Unkrich;Adventure, Animation, Comedy;103.0;G;8,3;970165.0;92.0;98.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
